ID	GuideID	Trigger	Command	CommonParam	RequireStepId	KeyFrame
int	int	string	string	string	int	bool
Id	GuideID	Trigger	Command	CommonParam	RequireStepId	KeyFrame
10001	1	UINodeVisibleTrigger:#0;	CharaWordsCommand:true,#1,0|-300;SkipGuideCommand:true;	UINodeFinder:MainGamePanel;Guide_Des_01;UINodeFinder:GuideWordsPanel,BtnMask;	0	
10002	1	EmptyTrigger	CharaWordsCommand:true,#0,0|-300;SkipGuideCommand:true;	Guide_Des_02;UINodeFinder:GuideWordsPanel,BtnMask;	10001	
20001	2	UINodeVisibleTrigger:#0;	SpineHandCommand:#1,true,0|0,0|0,2;UIClipCommand:#1,100,0|0,true;SkipGuideCommand;	UINodeFinder:MainGamePanel;UINodeFinder:MainGamePanel,Down/BottomBtns/AddBoatBtn/BuyButton;	10002	1
20002	2	EmptyTrigger;	SpineHandCommand:#0,true,0|0,0|0,2;UIClipCommand:#0,100,0|0,true;SkipGuideCommand;	UINodeFinder:MainGamePanel,Down/BottomBtns/AddBoatBtn/BuyButton;	20001	1
20003	2	EmptyTrigger;	SpineHandCommand:#0,true,0|0,-96|65,1;EventCommand:#1,#2;ShipMergeCommand:#0,200,-50|50,false;SkipGuideCommand;	UINodeFinder:MainGamePanel,Down/ShipInUse/ShipMergeBtnContainers/ShipMergeBtnContainer2;GameWish.Game.EventID;OnNewShipUnlockedPanelOpen;	20002	1
20004	2	UINodeInvisibleTrigger:#3;	SpineHandCommand:#0,true,0|0,280|456,1;EventCommand:#1,#2;ShipDragInworldUICommand:#0,400,0|300,false;SkipGuideCommand;	UINodeFinder:MainGamePanel,Down/ShipInUse/ShipMergeBtnContainers/ShipMergeBtnContainer1;GameWish.Game.EventID;OnSpawnShipInWorld;UINodeFinder:ShipFirstMerge;	20003	1
20005	2	EmptyTrigger;	CharaWordsCommand:true,#0,0|-300;SkipGuideCommand:true;	Guide_Des_11;UINodeFinder:GuideWordsPanel,BtnMask;	20004	1
20006	2	EmptyTrigger;	SpineHandCommand:#2,true,0|0,0|0,2;UIClipCommand:#2,100,0|0,true;SkipGuideCommand;	GameWish.Game.EventID;OnShipReachHarbor;UINodeFinder:MainGamePanel,Down/ShipInUse/ShipInUseScrollView/Viewport/Content/item0;UINodeFinder:MainGamePanel,NoPanelAboveTip;	20005	1
20007	2	EmptyTrigger;	SpineHandCommand:#0,true,0|0,0|0,2;UIClipCommand:#0,100,0|0,true;SkipGuideCommand;	UINodeFinder:MainGamePanel,Down/BottomBtns/AddBoatBtn/BuyButton;	20006	1
20008	2	UINodeVisibleTrigger:#0;	SpineHandCommand:#2,true,0|30,0|0,2;UIClipCommand:#2,100,0|0,true;CharaWordsCommand:true,#1,0|-500,false;SkipGuideCommand;	UINodeFinder:RandomUpPanel;Guide_Des_03;UINodeFinder:RandomUpPanel,BtnDiamond;	20007	1
20009	2	EmptyTrigger;	SpineHandCommand:#0,true,0|0,-96|65,1;EventCommand:#1,#2;ShipMergeCommand:#0,200,-50|50,false;SkipGuideCommand;	UINodeFinder:MainGamePanel,Down/ShipInUse/ShipMergeBtnContainers/ShipMergeBtnContainer2;GameWish.Game.EventID;OnNewShipUnlockedPanelOpen;	20008	1
20010	2	UINodeInvisibleTrigger:#3;	SpineHandCommand:#0,true,0|0,280|456,1;EventCommand:#1,#2;ShipDragInworldUICommand:#0,400,0|300,false;SkipGuideCommand;	UINodeFinder:MainGamePanel,Down/ShipInUse/ShipMergeBtnContainers/ShipMergeBtnContainer1;GameWish.Game.EventID;OnSpawnShipInWorld;UINodeFinder:ShipFirstMerge;	20009	
30001	3	ToUnlockIslandTrigger;UINoPanelAboveMainTrigger;	HarborUnlockIgnoreTouchCommand;SpineHandCommand:#0,true,0|0,0|0,2,true;UIClipCommand:#0,100,0|0,true;CharaWordsCommand:true,#1,0|-100,false;SkipGuideCommand;	UINodeFinder:MainGamePanel,GuideBtn;Guide_Des_04;UINodeFinder:MainGamePanel,NoPanelAboveTip;	20010	
30002	3	EmptyTrigger;	SpineHandCommand:#0,true,0|0,0|0,2;UIClipCommand:#0,100,0|0,true;SkipGuideCommand;	UINodeFinder:UnlockHarborPanel,Body/BtnUnlock;	30001	1
30003	3	EmptyTrigger;	CharaWordsCommand:true,#0,0|-100,true;SkipGuideCommand:true;	Guide_Des_05;UINodeFinder:GuideWordsPanel,BtnMask;	30002	
30004	3	EmptyTrigger;	SpineHandCommand:#1,true,0|0,0|0,1;UIClipCommand:#1,100,0|0,false;CharaWordsCommand:true,#0,0|-100,true;SkipGuideCommand;ButtonHackCommand:#2;	Guide_Des_06;UINodeFinder:MainGamePanel,Right/BuffContent;UINodeFinder:GuideWordsPanel,BtnMask;	30003	
40001	4	UINoPanelAboveMainTrigger;EventTrigger:#1,#2;	SpineHandCommand:#0,true,0|0,0|0,2;UIClipCommand:#0,100,0|0,true;CharaWordsCommand:true,#3,0|-300;MonsterLeaveCommand:#5,#6;SkipGuideCommand;	UINodeFinder:MainGamePanel,Right/GuaiWuBtn;GameWish.Game.EventID;OnMonsterSpawned;Guide_Des_07;UINodeFinder:MainGamePanel,NoPanelAboveTip;GameWish.Game.EventID;OnMonsterLeave;	30004	
40002	4	EmptyTrigger;	SpineHandCommand:#0,true,0|0,0|0,2,true;EventCommand:#2,#3,#4,#5,#6,#7;UIClipCommand:#0,100,0|0,false;CharaWordsCommand:true,#1,0|-300,false;SkipGuideCommand;	UINodeFinder:MainGamePanel,GuideBtn;Guide_Des_08;GameWish.Game.EventID;OnMonsterKilled;GameWish.Game.EventID;OnMonsterTimePanelOpen;GameWish.Game.EventID;OnMonsterLeave;	40001	1
50001	5	UINoPanelAboveMainTrigger;TpEnoughTrigger;	CharaWordsCommand:true,#1,0|-300,true;SkipGuideCommand:true;	UINodeFinder:MainGamePanel;Guide_Des_09;UINodeFinder:GuideWordsPanel,BtnMask;UINodeFinder:MainGamePanel,NoPanelAboveTip;	40002	
